timestep,temp,power_limit,reward,slope_3s,power_draw,eta,fan,util
146,70.0,270.0,0.9762820601463318,1.1959671739074273,258.0,0.9555555555555556,90.0,100.0
147,70.0,268.0,0.9647806882858276,0.0,259.69,0.9689925373134328,90.0,100.0
148,70.0,269.0,0.9679673910140991,0.0,255.48,0.9497397769516728,89.0,100.0
149,70.0,270.0,0.9733509421348572,0.0,257.93,0.9552962962962963,90.0,100.0
150,70.0,271.0,0.978426456451416,0.0,257.39,0.9497785977859778,90.0,100.0
151,70.0,271.0,0.9804509282112122,0.0,256.53,0.9466051660516605,90.0,100.0
152,69.0,271.0,0.03737430274486542,-0.24078555386795908,256.98,0.9482656826568266,90.0,100.0
153,70.0,269.0,0.9675900340080261,0.0,257.75,0.95817843866171,89.0,100.0
154,69.0,268.0,-1.0,0.0,258.78,0.9655970149253731,90.0,100.0
155,70.0,268.0,0.9616312980651855,0.0,256.16,0.9558208955223881,90.0,100.0
156,70.0,265.0,0.947858989238739,0.2409672415737525,256.6,0.9683018867924529,90.0,100.0
157,65.0,267.0,1.0581356287002563,-1.2030682499281768,259.78,0.9729588014981272,90.0,100.0
158,70.0,267.0,0.9570002555847168,0.0,257.96,0.9661423220973782,90.0,100.0
159,70.0,268.0,0.9634180068969727,1.205070629431668,256.46,0.9569402985074626,90.0,100.0
160,70.0,267.0,0.9567343592643738,0.0,260.17,0.9744194756554307,90.0,100.0
161,71.0,267.0,0.7645465731620789,0.2397831429003951,258.1,0.9666666666666668,90.0,100.0
162,70.0,267.0,0.9576635360717773,0.0,257.49,0.9643820224719102,90.0,100.0
163,70.0,266.0,0.94966721534729,-0.24001795941266585,257.73,0.9689097744360903,90.0,100.0
164,70.0,266.0,0.9509372115135193,0.0,256.67,0.9649248120300753,90.0,100.0
165,70.0,265.0,0.9452961087226868,0.0,257.93,0.9733207547169812,90.0,100.0
166,70.0,265.0,0.9485008716583252,0.0,257.29,0.9709056603773586,90.0,100.0
167,70.0,265.0,0.9484018683433533,0.0,258.96,0.9772075471698113,90.0,100.0
168,70.0,265.0,0.9462450742721558,0.0,257.82,0.9729056603773585,90.0,100.0
169,70.0,264.0,0.9399375319480896,0.0,256.42,0.9712878787878788,90.0,100.0
170,68.0,265.0,0.8204535245895386,-0.4818551710835246,258.21,0.974377358490566,90.0,100.0
171,71.0,265.0,0.7572492361068726,0.24127457835376262,255.87,0.9655471698113208,90.0,100.0
172,71.0,265.0,0.7544740438461304,0.7270126222476547,257.02,0.9698867924528302,90.0,100.0
173,70.0,267.0,0.9593664407730103,-0.2419568587692188,258.05,0.9664794007490637,90.0,100.0
174,70.0,267.0,0.9593022465705872,-0.24224324784337412,259.15,0.9705992509363295,90.0,100.0
175,70.0,268.0,0.9645437598228455,0.0,253.8,0.9470149253731344,90.0,100.0
176,70.0,269.0,0.9666522145271301,0.0,254.71,0.9468773234200744,90.0,100.0
177,70.0,270.0,0.9716439247131348,0.0,259.8,0.9622222222222223,90.0,100.0
178,70.0,270.0,0.9763298630714417,0.0,255.65,0.9468518518518518,90.0,100.0
179,70.0,269.0,0.9700009822845459,0.0,257.88,0.9586617100371747,90.0,100.0
180,70.0,268.0,0.9652721285820007,0.0,257.46,0.9606716417910447,90.0,100.0
181,70.0,270.0,0.9714487195014954,0.0,259.29,0.9603333333333334,90.0,100.0
182,70.0,270.0,0.9732014536857605,0.0,255.84,0.9475555555555556,90.0,100.0
183,71.0,270.0,0.7788398265838623,0.2410734843790072,257.7,0.9544444444444444,90.0,100.0
184,69.0,271.0,0.45712974667549133,-0.23938772778782447,256.33,0.9458671586715867,90.0,100.0
185,71.0,271.0,0.7836927771568298,0.0,256.7,0.9472324723247232,90.0,100.0
186,70.0,272.0,0.9864720702171326,0.24101231165310624,257.41,0.9463602941176471,90.0,100.0
187,71.0,272.0,0.7877624034881592,0.0,259.74,0.9549264705882353,90.0,100.0
188,71.0,272.0,0.7868285775184631,0.2416329006186483,259.5,0.9540441176470589,90.0,100.0
189,70.0,272.0,0.9863826036453247,-0.2410686071532068,257.32,0.9460294117647059,90.0,100.0
190,71.0,273.0,0.7911760807037354,0.0,255.89,0.9373260073260072,90.0,100.0
191,71.0,274.0,0.7988831400871277,0.24193422138791537,260.1,0.9492700729927008,90.0,100.0
192,70.0,273.0,0.9940367937088013,-0.24184169223867827,256.36,0.9390476190476191,90.0,100.0
193,70.0,273.0,0.9924260377883911,-0.24193853360804116,257.04,0.9415384615384617,90.0,100.0
194,69.0,273.0,0.15126998722553253,-0.2407327479333151,260.06,0.9526007326007326,90.0,100.0
195,71.0,274.0,0.799132764339447,0.24030077931101812,257.28,0.938978102189781,90.0,100.0
196,71.0,275.0,0.800000011920929,0.480085562124109,258.02,0.9382545454545453,90.0,100.0
197,71.0,274.0,0.7955657243728638,0.0,259.05,0.9454379562043796,90.0,100.0
198,71.0,272.0,0.7869686484336853,0.0,255.82,0.9405147058823529,90.0,100.0
199,71.0,272.0,0.788973331451416,0.0,256.54,0.9431617647058824,90.0,100.0
200,71.0,273.0,0.7916110157966614,0.0,259.21,0.9494871794871794,90.0,100.0
201,71.0,275.0,0.800000011920929,0.0,256.27,0.931890909090909,90.0,100.0
202,71.0,275.0,0.800000011920929,0.0,257.92,0.9378909090909091,90.0,100.0
203,71.0,275.0,0.800000011920929,0.0,257.64,0.9368727272727272,90.0,100.0
204,71.0,275.0,0.800000011920929,0.0,259.3,0.9429090909090909,90.0,100.0
205,71.0,274.0,0.7991495728492737,0.0,255.71,0.9332481751824818,90.0,100.0
206,71.0,274.0,0.7987767457962036,0.0,256.24,0.9351824817518248,90.0,100.0
207,70.0,273.0,0.9905934929847717,-0.24120742191015646,259.15,0.9492673992673992,90.0,100.0
208,71.0,273.0,0.7949007153511047,0.0,255.26,0.935018315018315,90.0,100.0
209,71.0,274.0,0.7998982071876526,0.24203258939769817,257.36,0.9392700729927008,90.0,100.0
210,71.0,273.0,0.7920159697532654,0.0,260.04,0.9525274725274726,90.0,100.0
211,71.0,273.0,0.7944818139076233,0.0,257.1,0.9417582417582419,90.0,100.0
212,71.0,272.0,0.7882086634635925,0.0,258.51,0.9504044117647058,90.0,100.0
213,71.0,270.0,0.7804468274116516,0.0,259.05,0.9594444444444444,90.0,100.0
214,71.0,269.0,0.7762293815612793,0.0,256.07,0.9519330855018587,90.0,100.0
215,71.0,268.0,0.7698363065719604,0.0,258.36,0.9640298507462687,90.0,100.0
216,71.0,268.0,0.7691937685012817,0.0,257.57,0.9610820895522387,90.0,100.0
217,71.0,267.0,0.7638430595397949,0.0,256.58,0.9609737827715356,90.0,100.0
218,71.0,266.0,0.7605413198471069,0.0,257.84,0.9693233082706766,90.0,100.0
219,71.0,265.0,0.7571139335632324,0.0,257.59,0.9720377358490565,90.0,100.0
220,69.0,266.0,0.9103611707687378,-0.4816487223224213,260.52,0.9793984962406015,90.0,100.0
221,71.0,265.0,0.7557283043861389,0.0,256.93,0.9695471698113208,90.0,100.0
222,71.0,266.0,0.7591539025306702,0.4811077385285227,258.16,0.9705263157894738,90.0,100.0
223,71.0,264.0,0.7525452971458435,0.0,260.72,0.9875757575757577,90.0,100.0
224,71.0,265.0,0.7578376531600952,0.0,257.28,0.9708679245283017,90.0,100.0
225,71.0,267.0,0.764462947845459,0.0,256.85,0.9619850187265918,90.0,100.0
226,71.0,268.0,0.7707542181015015,0.0,258.53,0.9646641791044775,90.0,100.0
